El Yazmaları;Eserin Adı
El Yazmaları;Yazarı
El Yazmaları;Konusu
El Yazmaları;Orijinal No
El Yazmaları;Katalog Sıra No
El Yazmaları;Arşiv Sıra No
El Yazmaları;Dil
El Yazmaları;Açıklamalar
Katalog Dışı El Yazmaları;Eserin Adı
Katalog Dışı El Yazmaları;Yazarı
Katalog Dışı El Yazmaları;Konusu
Katalog Dışı El Yazmaları;Orijinal No
Katalog Dışı El Yazmaları;Katalog Sıra No
Katalog Dışı El Yazmaları;Arşiv Sıra No
Katalog Dışı El Yazmaları;Dil
Katalog Dışı El Yazmaları;Açıklamalar
El Yazmaları Toplu;Arşiv Sıra No
El Yazmaları Toplu;Katalog Sıra No
El Yazmaları Toplu;Orijinal No
El Yazmaları Toplu;Eserin Adı
El Yazmaları Toplu;Yazarı
El Yazmaları Toplu;Konusu
El Yazmaları Toplu;Dil
El Yazmaları Toplu;Açıklamalar
Mutasarrıflık Defterleri;Sıra Nu
Mutasarrıflık Defterleri;Kod
Mutasarrıflık Defterleri;Orijinal Nu
Mutasarrıflık Defterleri;Geçici Nu
Mutasarrıflık Defterleri;Mikrofilm Nu
Mutasarrıflık Defterleri;Orijinal Adı Ve Cinsi
Mutasarrıflık Defterleri;Başlangıç Ve Bitiş Tarihleri
Mutasarrıflık Defterleri;Şekli
Mutasarrıflık Defterleri;Varak Adedi
Mutasarrıflık Defterleri;Boş Varak Adedi
Mutasarrıflık Defterleri;Açıklamalar
Hala Sultan Defterleri;Sıra Nu
Hala Sultan Defterleri;Kod
Hala Sultan Defterleri;Orijinal Nu
Hala Sultan Defterleri;Geçici Nu
Hala Sultan Defterleri;Mikrofilm Nu
Hala Sultan Defterleri;Orijinal Adı Ve Cinsi
Hala Sultan Defterleri;Başlangıç Ve Bitiş Tarihleri
Hala Sultan Defterleri;Şekli
Hala Sultan Defterleri;Varak Adedi
Hala Sultan Defterleri;Boş Varak Adedi
Hala Sultan Defterleri;Açıklamalar
Mahalli İdarelerin Defterleri;Sıra Nu
Mahalli İdarelerin Defterleri;Kod
Mahalli İdarelerin Defterleri;Orijinal Nu
Mahalli İdarelerin Defterleri;Geçici Nu
Mahalli İdarelerin Defterleri;Mikrofilm Nu
Mahalli İdarelerin Defterleri;Orijinal Adı Ve Cinsi
Mahalli İdarelerin Defterleri;Başlangıç Ve Bitiş Tarihleri
Mahalli İdarelerin Defterleri;Şekli
Mahalli İdarelerin Defterleri;Varak Adedi
Mahalli İdarelerin Defterleri;Boş Varak Adedi
Mahalli İdarelerin Defterleri;Açıklamalar
Evkaf Defterleri;Sıra Nu
Evkaf Defterleri;Kod
Evkaf Defterleri;Orijinal Nu
Evkaf Defterleri;Geçici Nu
Evkaf Defterleri;Sıra Nu
Evkaf Defterleri;Mikrofilm Nu
Evkaf Defterleri;Orijinal Adı Ve Cinsi
Evkaf Defterleri;Başlangıç Ve Bitiş Tarihleri
Evkaf Defterleri;Şekli
Evkaf Defterleri;Varak Adedi
Evkaf Defterleri;Boş Varak Adedi
Evkaf Defterleri;Açıklamalar
Osmanlıca Matbu Koleksiyon;Sıra No
Osmanlıca Matbu Koleksiyon;Demirbaş No
Osmanlıca Matbu Koleksiyon;Dil
Osmanlıca Matbu Koleksiyon;Materyalin Biçimi
Osmanlıca Matbu Koleksiyon;Eserin Adı
Osmanlıca Matbu Koleksiyon;Yazar Soyadı / Müellif
Osmanlıca Matbu Koleksiyon;Yazar Adı / Hazırlayan
Osmanlıca Matbu Koleksiyon;2. Yazar Soyadı / Mütercim
Osmanlıca Matbu Koleksiyon;2. Yazar Adı
Osmanlıca Matbu Koleksiyon;Konu 1
Osmanlıca Matbu Koleksiyon;Konu 2
Osmanlıca Matbu Koleksiyon;Cilt
Osmanlıca Matbu Koleksiyon;Cilt Adedi
Osmanlıca Matbu Koleksiyon;Sayfa
Osmanlıca Matbu Koleksiyon;Basım Yeri
Osmanlıca Matbu Koleksiyon;Basan
Osmanlıca Matbu Koleksiyon;Basım Tarihi
Osmanlıca Matbu Koleksiyon;Baskı
Osmanlıca Matbu Koleksiyon;Yayınlayan
Osmanlıca Matbu Koleksiyon;Fotoğraf - Resim - Harita Vb. Bilgileri
Osmanlıca Matbu Koleksiyon;Isbn
Osmanlıca Matbu Koleksiyon;Açıklamalar
Osmanlıca Gazete Koleksiyon;Sıra No
Osmanlıca Gazete Koleksiyon;Orijinal No
Osmanlıca Gazete Koleksiyon;Demirbaş No
Osmanlıca Gazete Koleksiyon;Dil
Osmanlıca Gazete Koleksiyon;Materyalin Biçimi
Osmanlıca Gazete Koleksiyon;Periyodu
Osmanlıca Gazete Koleksiyon;Adı
Osmanlıca Gazete Koleksiyon;Sâhib-İ İmtiyâz Veyâ Müessisi
Osmanlıca Gazete Koleksiyon;Müdürü
Osmanlıca Gazete Koleksiyon;Baş Yazarı
Osmanlıca Gazete Koleksiyon;Çıkmaya Başladığı Tarih
Osmanlıca Gazete Koleksiyon;Tarihi
Osmanlıca Gazete Koleksiyon;Sene
Osmanlıca Gazete Koleksiyon;Sayısı
Osmanlıca Gazete Koleksiyon;Cilt
Osmanlıca Gazete Koleksiyon;Sayfa Sayısı
Osmanlıca Gazete Koleksiyon;Basım Yeri
Osmanlıca Gazete Koleksiyon;Basımevi
Osmanlıca Gazete Koleksiyon;Baskı
Osmanlıca Gazete Koleksiyon;Açıklamalar
Alfabetik;Sıra No
Alfabetik;Orijinal No
Alfabetik;Demirbaş No
Alfabetik;Kutu No
Alfabetik;Dil
Alfabetik;Materyalin Biçimi
Alfabetik;Eserin Adı
Alfabetik;Yazar Soyadı / Müellif
Alfabetik;Yazar Adı / Hazırlayan
Alfabetik;2. Yazar Soyadı / Mütercim
Alfabetik;2. Yazar Adı
Alfabetik;Konu 1
Alfabetik;Konu 2
Alfabetik;Cilt
Alfabetik;Cilt Adedi
Alfabetik;Sayfa
Alfabetik;Basım Yeri
Alfabetik;Basan
Alfabetik;Basım Tarihi
Alfabetik;Baskı
Alfabetik;Yayınlayan
Alfabetik;Fotoğraf - Resim - Harita Vb. Bilgileri
Alfabetik;Isbn
Alfabetik;Açıklamalar
Söz Gazetesi;Başlık
Söz Gazetesi;İçerik
Söz Gazetesi;Numara
Söz Gazetesi;Yıl
Söz Gazetesi;Gün
Söz Gazetesi;Tarih
Kıbrıs Geçici Türk Yönetimi ;Dosya No 
Kıbrıs Geçici Türk Yönetimi ;Karar No
Kıbrıs Geçici Türk Yönetimi ;Önerge No
Kıbrıs Geçici Türk Yönetimi ;Top.Tut. No
Kıbrıs Geçici Türk Yönetimi ;Toplantı Tarihi
Kıbrıs Geçici Türk Yönetimi ;Sayfa Sayısı
Kıbrıs Geçici Türk Yönetimi ;Karar Adı  /Konu
Kıbrıs Geçici Türk Yönetimi ;Not
Kıbrıs Kartpostalları;Envanter No
Kıbrıs Kartpostalları;Dijital Yayıncı
Kıbrıs Kartpostalları;Fotoğrafçı
Kıbrıs Kartpostalları;Yayıncı
Kıbrıs Kartpostalları;En
Kıbrıs Kartpostalları;Boy
Kıbrıs Kartpostalları;Biçim Ve Çözünürlük
Kıbrıs Kartpostalları;Başlık
Kıbrıs Kartpostalları;İçerik Tanımları
Kıbrıs Kartpostalları;Kondisyon
Yabancı Kartpostal;Envanter No
Yabancı Kartpostal;Dijital Yayıncı
Yabancı Kartpostal;Fotoğrafçı
Yabancı Kartpostal;Yayıncı
Yabancı Kartpostal;En
Yabancı Kartpostal;Boy
Yabancı Kartpostal;Biçim Ve Çözünürlük
Yabancı Kartpostal;Başlık
Yabancı Kartpostal;İçerik Tanımları
Yabancı Kartpostal;Kondisyon
Pro Belgeleri;Sıra No
Pro Belgeleri;Referans No
Pro Belgeleri;Orjinal Referans No
Pro Belgeleri;Tarih
Pro Belgeleri;Başlık
Pro Belgeleri;Yazan
Pro Belgeleri;Yazılan
Pro Belgeleri;Belge Çeşidi
Pro Belgeleri;Sayfa Sayısı
Kktc Cb Tcm Dosyları;Dosya No
Kktc Cb Tcm Dosyları;İhtiva Ettiği Yıllar
